id,domain,domain_label,subdomain,subdomain_label,tier,level,priority,frequency,question_type,role_tracks,question,answer_requirements,follow_up_question,source_name,source_url,source_locator,status,review_status,quality_origin,import_action
master-testing-fundamentals-testing-principles-01,testing-fundamentals,Testing fundamentals & quality engineering,testing-principles,Testing Principles,A,basic,P0,very_common,concept,Senior SDET | Lead SDET | QA Manager,"Define testing principles in Testing fundamentals & quality engineering. What decision does it support, and what symptoms show that the concept has been misunderstood?","Accurately define testing principles in the context of the domain. | Use a concrete example rather than only definitions. | Identify at least one realistic failure mode or anti-pattern. | State the evidence, test, metric, log, trace, or artifact that proves the conclusion. | State quality attributes and explicit trade-offs. | Include migration, governance, and verification criteria.",What evidence would cause you to reject the first implementation of testing principles?,ISTQB,https://www.istqb.org/,testing principles,draft,unreviewed,master_inventory,enrich_then_critic_then_promote
master-testing-fundamentals-testing-principles-02,testing-fundamentals,Testing fundamentals & quality engineering,testing-principles,Testing Principles,A,intermediate,P1,common,framework_design,Senior SDET | Lead SDET | QA Manager,Review an automation or quality architecture that handles testing principles through shared mutable utilities and implicit conventions. Identify the failure modes and propose explicit boundaries.,"Accurately define testing principles in the context of the domain. | Use a concrete example rather than only definitions. | Identify at least one realistic failure mode or anti-pattern. | State the evidence, test, metric, log, trace, or artifact that proves the conclusion. | State quality attributes and explicit trade-offs. | Include migration, governance, and verification criteria.","How would your answer change under parallel execution, larger data volume, or an unreliable dependency?",ISTQB,https://www.istqb.org/,testing principles,draft,unreviewed,master_inventory,enrich_then_critic_then_promote
master-testing-fundamentals-testing-principles-03,testing-fundamentals,Testing fundamentals & quality engineering,testing-principles,Testing Principles,A,advanced,P2,occasional,system_design,Senior SDET | Lead SDET | QA Manager,"Design an enterprise-scale approach to testing principles. Cover quality attributes, ownership, migration, observability, security, cost, and the evidence that would trigger revisiting the decision.","Accurately define testing principles in the context of the domain. | Use a concrete example rather than only definitions. | Identify at least one realistic failure mode or anti-pattern. | State the evidence, test, metric, log, trace, or artifact that proves the conclusion. | State quality attributes and explicit trade-offs. | Include migration, governance, and verification criteria. | Explain trade-offs at scale and identify conditions that would change the chosen design.",Which part of your design is most likely to become a maintenance problem after one year?,ISTQB,https://www.istqb.org/,testing principles,draft,unreviewed,master_inventory,enrich_then_critic_then_promote
master-testing-fundamentals-testing-principles-04,testing-fundamentals,Testing fundamentals & quality engineering,testing-principles,Testing Principles,A,advanced,P2,occasional,incident_postmortem,Senior SDET | Lead SDET | QA Manager,"Lead a postmortem for a release failure rooted in testing principles. Separate immediate recovery, root cause, systemic contributors, corrective actions, and verification of the prevention work.","Accurately define testing principles in the context of the domain. | Use a concrete example rather than only definitions. | Identify at least one realistic failure mode or anti-pattern. | State the evidence, test, metric, log, trace, or artifact that proves the conclusion. | State quality attributes and explicit trade-offs. | Include migration, governance, and verification criteria. | Explain trade-offs at scale and identify conditions that would change the chosen design.",How would you prove the solution works in CI and not only on a developer machine?,ISTQB,https://www.istqb.org/,testing principles,draft,unreviewed,master_inventory,enrich_then_critic_then_promote
master-testing-fundamentals-test-design-01,testing-fundamentals,Testing fundamentals & quality engineering,test-design,Test Design,A,basic,P0,very_common,concept,Senior SDET | Lead SDET | QA Manager,"Define test design in Testing fundamentals & quality engineering. What decision does it support, and what symptoms show that the concept has been misunderstood?","Accurately define test design in the context of the domain. | Use a concrete example rather than only definitions. | Identify at least one realistic failure mode or anti-pattern. | State the evidence, test, metric, log, trace, or artifact that proves the conclusion. | State quality attributes and explicit trade-offs. | Include migration, governance, and verification criteria.",What evidence would cause you to reject the first implementation of test design?,ISTQB,https://www.istqb.org/,test design,draft,unreviewed,master_inventory,enrich_then_critic_then_promote
master-testing-fundamentals-test-design-02,testing-fundamentals,Testing fundamentals & quality engineering,test-design,Test Design,A,intermediate,P1,common,framework_design,Senior SDET | Lead SDET | QA Manager,Review an automation or quality architecture that handles test design through shared mutable utilities and implicit conventions. Identify the failure modes and propose explicit boundaries.,"Accurately define test design in the context of the domain. | Use a concrete example rather than only definitions. | Identify at least one realistic failure mode or anti-pattern. | State the evidence, test, metric, log, trace, or artifact that proves the conclusion. | State quality attributes and explicit trade-offs. | Include migration, governance, and verification criteria.","How would your answer change under parallel execution, larger data volume, or an unreliable dependency?",ISTQB,https://www.istqb.org/,test design,draft,unreviewed,master_inventory,enrich_then_critic_then_promote
master-testing-fundamentals-test-design-03,testing-fundamentals,Testing fundamentals & quality engineering,test-design,Test Design,A,advanced,P2,occasional,system_design,Senior SDET | Lead SDET | QA Manager,"Design an enterprise-scale approach to test design. Cover quality attributes, ownership, migration, observability, security, cost, and the evidence that would trigger revisiting the decision.","Accurately define test design in the context of the domain. | Use a concrete example rather than only definitions. | Identify at least one realistic failure mode or anti-pattern. | State the evidence, test, metric, log, trace, or artifact that proves the conclusion. | State quality attributes and explicit trade-offs. | Include migration, governance, and verification criteria. | Explain trade-offs at scale and identify conditions that would change the chosen design.",Which part of your design is most likely to become a maintenance problem after one year?,ISTQB,https://www.istqb.org/,test design,draft,unreviewed,master_inventory,enrich_then_critic_then_promote
master-testing-fundamentals-test-design-04,testing-fundamentals,Testing fundamentals & quality engineering,test-design,Test Design,A,advanced,P2,occasional,incident_postmortem,Senior SDET | Lead SDET | QA Manager,"Lead a postmortem for a release failure rooted in test design. Separate immediate recovery, root cause, systemic contributors, corrective actions, and verification of the prevention work.","Accurately define test design in the context of the domain. | Use a concrete example rather than only definitions. | Identify at least one realistic failure mode or anti-pattern. | State the evidence, test, metric, log, trace, or artifact that proves the conclusion. | State quality attributes and explicit trade-offs. | Include migration, governance, and verification criteria. | Explain trade-offs at scale and identify conditions that would change the chosen design.",How would you prove the solution works in CI and not only on a developer machine?,ISTQB,https://www.istqb.org/,test design,draft,unreviewed,master_inventory,enrich_then_critic_then_promote
master-testing-fundamentals-risk-based-testing-01,testing-fundamentals,Testing fundamentals & quality engineering,risk-based-testing,Risk Based Testing,A,basic,P0,very_common,concept,Senior SDET | Lead SDET | QA Manager,"Define risk based testing in Testing fundamentals & quality engineering. What decision does it support, and what symptoms show that the concept has been misunderstood?","Accurately define risk based testing in the context of the domain. | Use a concrete example rather than only definitions. | Identify at least one realistic failure mode or anti-pattern. | State the evidence, test, metric, log, trace, or artifact that proves the conclusion. | State quality attributes and explicit trade-offs. | Include migration, governance, and verification criteria.",What evidence would cause you to reject the first implementation of risk based testing?,ISTQB,https://www.istqb.org/,risk based testing,draft,unreviewed,master_inventory,enrich_then_critic_then_promote
master-testing-fundamentals-risk-based-testing-02,testing-fundamentals,Testing fundamentals & quality engineering,risk-based-testing,Risk Based Testing,A,intermediate,P1,common,framework_design,Senior SDET | Lead SDET | QA Manager,Review an automation or quality architecture that handles risk based testing through shared mutable utilities and implicit conventions. Identify the failure modes and propose explicit boundaries.,"Accurately define risk based testing in the context of the domain. | Use a concrete example rather than only definitions. | Identify at least one realistic failure mode or anti-pattern. | State the evidence, test, metric, log, trace, or artifact that proves the conclusion. | State quality attributes and explicit trade-offs. | Include migration, governance, and verification criteria.","How would your answer change under parallel execution, larger data volume, or an unreliable dependency?",ISTQB,https://www.istqb.org/,risk based testing,draft,unreviewed,master_inventory,enrich_then_critic_then_promote
master-testing-fundamentals-risk-based-testing-03,testing-fundamentals,Testing fundamentals & quality engineering,risk-based-testing,Risk Based Testing,A,advanced,P2,occasional,system_design,Senior SDET | Lead SDET | QA Manager,"Design an enterprise-scale approach to risk based testing. Cover quality attributes, ownership, migration, observability, security, cost, and the evidence that would trigger revisiting the decision.","Accurately define risk based testing in the context of the domain. | Use a concrete example rather than only definitions. | Identify at least one realistic failure mode or anti-pattern. | State the evidence, test, metric, log, trace, or artifact that proves the conclusion. | State quality attributes and explicit trade-offs. | Include migration, governance, and verification criteria. | Explain trade-offs at scale and identify conditions that would change the chosen design.",Which part of your design is most likely to become a maintenance problem after one year?,ISTQB,https://www.istqb.org/,risk based testing,draft,unreviewed,master_inventory,enrich_then_critic_then_promote
master-testing-fundamentals-risk-based-testing-04,testing-fundamentals,Testing fundamentals & quality engineering,risk-based-testing,Risk Based Testing,A,advanced,P2,occasional,incident_postmortem,Senior SDET | Lead SDET | QA Manager,"Lead a postmortem for a release failure rooted in risk based testing. Separate immediate recovery, root cause, systemic contributors, corrective actions, and verification of the prevention work.","Accurately define risk based testing in the context of the domain. | Use a concrete example rather than only definitions. | Identify at least one realistic failure mode or anti-pattern. | State the evidence, test, metric, log, trace, or artifact that proves the conclusion. | State quality attributes and explicit trade-offs. | Include migration, governance, and verification criteria. | Explain trade-offs at scale and identify conditions that would change the chosen design.",How would you prove the solution works in CI and not only on a developer machine?,ISTQB,https://www.istqb.org/,risk based testing,draft,unreviewed,master_inventory,enrich_then_critic_then_promote
master-testing-fundamentals-test-pyramid-01,testing-fundamentals,Testing fundamentals & quality engineering,test-pyramid,Test Pyramid,A,basic,P0,very_common,concept,Senior SDET | Lead SDET | QA Manager,"Define test pyramid in Testing fundamentals & quality engineering. What decision does it support, and what symptoms show that the concept has been misunderstood?","Accurately define test pyramid in the context of the domain. | Use a concrete example rather than only definitions. | Identify at least one realistic failure mode or anti-pattern. | State the evidence, test, metric, log, trace, or artifact that proves the conclusion. | State quality attributes and explicit trade-offs. | Include migration, governance, and verification criteria.",What evidence would cause you to reject the first implementation of test pyramid?,ISTQB,https://www.istqb.org/,test pyramid,draft,unreviewed,master_inventory,enrich_then_critic_then_promote
master-testing-fundamentals-test-pyramid-02,testing-fundamentals,Testing fundamentals & quality engineering,test-pyramid,Test Pyramid,A,intermediate,P1,common,framework_design,Senior SDET | Lead SDET | QA Manager,Review an automation or quality architecture that handles test pyramid through shared mutable utilities and implicit conventions. Identify the failure modes and propose explicit boundaries.,"Accurately define test pyramid in the context of the domain. | Use a concrete example rather than only definitions. | Identify at least one realistic failure mode or anti-pattern. | State the evidence, test, metric, log, trace, or artifact that proves the conclusion. | State quality attributes and explicit trade-offs. | Include migration, governance, and verification criteria.","How would your answer change under parallel execution, larger data volume, or an unreliable dependency?",ISTQB,https://www.istqb.org/,test pyramid,draft,unreviewed,master_inventory,enrich_then_critic_then_promote
master-testing-fundamentals-test-pyramid-03,testing-fundamentals,Testing fundamentals & quality engineering,test-pyramid,Test Pyramid,A,advanced,P2,occasional,system_design,Senior SDET | Lead SDET | QA Manager,"Design an enterprise-scale approach to test pyramid. Cover quality attributes, ownership, migration, observability, security, cost, and the evidence that would trigger revisiting the decision.","Accurately define test pyramid in the context of the domain. | Use a concrete example rather than only definitions. | Identify at least one realistic failure mode or anti-pattern. | State the evidence, test, metric, log, trace, or artifact that proves the conclusion. | State quality attributes and explicit trade-offs. | Include migration, governance, and verification criteria. | Explain trade-offs at scale and identify conditions that would change the chosen design.",Which part of your design is most likely to become a maintenance problem after one year?,ISTQB,https://www.istqb.org/,test pyramid,draft,unreviewed,master_inventory,enrich_then_critic_then_promote
master-testing-fundamentals-test-pyramid-04,testing-fundamentals,Testing fundamentals & quality engineering,test-pyramid,Test Pyramid,A,advanced,P2,occasional,incident_postmortem,Senior SDET | Lead SDET | QA Manager,"Lead a postmortem for a release failure rooted in test pyramid. Separate immediate recovery, root cause, systemic contributors, corrective actions, and verification of the prevention work.","Accurately define test pyramid in the context of the domain. | Use a concrete example rather than only definitions. | Identify at least one realistic failure mode or anti-pattern. | State the evidence, test, metric, log, trace, or artifact that proves the conclusion. | State quality attributes and explicit trade-offs. | Include migration, governance, and verification criteria. | Explain trade-offs at scale and identify conditions that would change the chosen design.",How would you prove the solution works in CI and not only on a developer machine?,ISTQB,https://www.istqb.org/,test pyramid,draft,unreviewed,master_inventory,enrich_then_critic_then_promote
master-testing-fundamentals-exploratory-testing-01,testing-fundamentals,Testing fundamentals & quality engineering,exploratory-testing,Exploratory Testing,A,basic,P0,very_common,concept,Senior SDET | Lead SDET | QA Manager,"Define exploratory testing in Testing fundamentals & quality engineering. What decision does it support, and what symptoms show that the concept has been misunderstood?","Accurately define exploratory testing in the context of the domain. | Use a concrete example rather than only definitions. | Identify at least one realistic failure mode or anti-pattern. | State the evidence, test, metric, log, trace, or artifact that proves the conclusion. | State quality attributes and explicit trade-offs. | Include migration, governance, and verification criteria.",What evidence would cause you to reject the first implementation of exploratory testing?,ISTQB,https://www.istqb.org/,exploratory testing,draft,unreviewed,master_inventory,enrich_then_critic_then_promote
master-testing-fundamentals-exploratory-testing-02,testing-fundamentals,Testing fundamentals & quality engineering,exploratory-testing,Exploratory Testing,A,intermediate,P1,common,framework_design,Senior SDET | Lead SDET | QA Manager,Review an automation or quality architecture that handles exploratory testing through shared mutable utilities and implicit conventions. Identify the failure modes and propose explicit boundaries.,"Accurately define exploratory testing in the context of the domain. | Use a concrete example rather than only definitions. | Identify at least one realistic failure mode or anti-pattern. | State the evidence, test, metric, log, trace, or artifact that proves the conclusion. | State quality attributes and explicit trade-offs. | Include migration, governance, and verification criteria.","How would your answer change under parallel execution, larger data volume, or an unreliable dependency?",ISTQB,https://www.istqb.org/,exploratory testing,draft,unreviewed,master_inventory,enrich_then_critic_then_promote
